Songs,Mood,Energy,Beats
"Someone New",Happy,Medium,Mid-tempo
"To Be Alone",Sad,High,Slow
"Angel of Small Death & the Codeine Scene",Sad,High,Fast
"Like Real People Do",Happy,Medium,Mid-tempo
"In a Week",Sad,Medium,Slow
"Sedated",Sad,Medium,Slow
"Sicko Mode",Happy,High,Fast
"Goosebumps",Happy,High,Fast
"Antidote",Happy,High,Fast
"Butterfly Effect",Happy,High,Fast
"Highest in the Room",Happy,High,Fast
"Stargazing",Happy,High,Fast
"Wake Up",Happy,High,Slow
"90210",Sad,Medium,Slow
"Stop Trying to Be God",Sad,Medium,Slow
"Astrothunder",Sad,Medium,Slow
"Can't Say",Happy,High,Fast
"Skeletons",Sad,Medium,Slow
"R.I.P. Screw",Sad,Medium,Slow
"Houstonfornication",Sad,Medium,Slow
"Coffee Bean",Sad,Medium,Slow
"The Ends",Sad,Medium,Slow
"Way Back",Happy,High,Mid-tempo
"Sicko Mode",Happy,High,Fast
"Goosebumps",Happy,High,Fast
"Antidote",Happy,High,Fast
"Butterfly Effect",Happy,High,Fast
"Highest in the Room",Happy,High,Fast
"Stargazing",Happy,High,Fast
"Wake Up",Happy,High,Slow
"90210",Sad,Medium,Slow
"Stop Trying to Be God",Sad,Medium,Slow
"Astrothunder",Sad,Medium,Slow
"Can't Say",Happy,High,Fast
"Skeletons",Sad,Medium,Slow
"R.I.P. Screw",Sad,Medium,Slow
"Houstonfornication",Sad,Medium,Slow
"Coffee Bean",Sad,Medium,Slow
"The Ends",Sad,Medium,Slow
"Way Back",Happy,High,Mid-tempo
"Sicko Mode",Happy,High,Fast
"Goosebumps",Happy,High,Fast
"Antidote",Happy,High,Fast
"Butterfly Effect",Happy,High,Fast
"Highest in the Room",Happy,High,Fast
"Stargazing",Happy,High,Fast
"Wake Up",Happy,High,Slow
"90210",Sad,Medium,Slow
"Stop Trying to Be God",Sad,Medium,Slow
"Astrothunder",Sad,Medium,Slow
"Can't Say",Happy,High,Fast
"Skeletons",Sad,Medium,Slow
"R.I.P. Screw",Sad,Medium,Slow
"Houstonfornication",Sad,Medium,Slow
"Coffee Bean",Sad,Medium,Slow
"The Ends",Sad,Medium,Slow
"Way Back",Happy,High,Mid-tempo
"Sicko Mode",Happy,High,Fast
"Goosebumps",Happy,High,Fast
"Antidote",Happy,High,Fast
"Butterfly Effect",Happy,High,Fast
"Highest in the Room",Happy,High,Fast
"Stargazing",Happy,High,Fast
"Wake Up",Happy,High,Slow
"90210",Sad,Medium,Slow
"Stop Trying to Be God",Sad,Medium,Slow
"Astrothunder",Sad,Medium,Slow
"Can't Say",Happy,High,Fast
"Skeletons",Sad,Medium,Slow
"R.I.P. Screw",Sad,Medium,Slow
"Houstonfornication",Sad,Medium,Slow
"Coffee Bean",Sad,Medium,Slow
"The Ends",Sad,Medium,Slow
"Way Back",Happy,High,Mid-tempo
"Bol Do Na Zara",Happy,Medium,Slow
"Main Hoon Hero Tera",Happy,Medium,Slow
"Tumhe Apna Banane Ka",Sad,Medium,Slow
"Main Rahoon Ya Na Rahoon",Sad,Medium,Slow
"Wajah Tum Ho",Sad,Medium,Slow
"Buddhu Sa Mann",Happy,Medium,Mid-tempo
"Hua Hain Aaj Pehli Baar",Happy,High,Mid-tempo
"Kaun Tujhe",Sad,Medium,Slow
"Naina",Sad,Medium,Slow
"Barfani",Sad,Medium,Slow
"Besabriyaan",Happy,Medium,Mid-tempo
"Dil Mein Ho Tum",Sad,Medium,Slow
"Bol Do Na Zara",Happy,Medium,Slow
"Main Hoon Hero Tera",Happy,Medium,Slow
"Tumhe Apna Banane Ka",Sad,Medium,Slow
"Main Rahoon Ya Na Rahoon",Sad,Medium,Slow
"Wajah Tum Ho",Sad,Medium,Slow
"Buddhu Sa Mann",Happy,Medium,Mid-tempo
"Hua Hain Aaj Pehli Baar",Happy,High,Mid-tempo
"Kaun Tujhe",Sad,Medium,Slow
"Naina",Sad,Medium,Slow
"Barfani",Sad,Medium,Slow
"Besabriyaan",Happy,Medium,Mid-tempo
"Dil Mein Ho Tum",Sad,Medium,Slow
"Bol Do Na Zara",Happy,Medium,Slow
"Main Hoon Hero Tera",Happy,Medium,Slow
"Tumhe Apna Banane Ka",Sad,Medium,Slow
"Main Rahoon Ya Na Rahoon",Sad,Medium,Slow
"Wajah Tum Ho",Sad,Medium,Slow
"Buddhu Sa Mann",Happy,Medium,Mid-tempo
"Hua Hain Aaj Pehli Baar",Happy,High,Mid-tempo
"Kaun Tujhe",Sad,Medium,Slow
"Naina",Sad,Medium,Slow
"Barfani",Sad,Medium,Slow
"Besabriyaan",Happy,Medium,Mid-tempo
"Dil Mein Ho Tum",Sad,Medium,Slow
"Bol Do Na Zara",Happy,Medium,Slow
"Main Hoon Hero Tera",Happy,Medium,Slow
"Tumhe Apna Banane Ka",Sad,Medium,Slow
"Main Rahoon Ya Na Rahoon",Sad,Medium,Slow
"Wajah Tum Ho",Sad,Medium,Slow
"Buddhu Sa Mann",Happy,Medium,Mid-tempo
"Hua Hain Aaj Pehli Baar",Happy,High,Mid-tempo
"Kaun Tujhe",Sad,Medium,Slow
"Naina",Sad,Medium,Slow
"Barfani",Sad,Medium,Slow
"Besabriyaan",Happy,Medium,Mid-tempo
"Dil Mein Ho Tum",Sad,Medium,Slow
"Bol Do Na Zara",Happy,Medium,Slow
"Main Hoon Hero Tera",Happy,Medium,Slow
"Tumhe Apna Banane Ka",Sad,Medium,Slow
"Main Rahoon Ya Na Rahoon",Sad,Medium,Slow
"Wajah Tum Ho",Sad,Medium,Slow
"Buddhu Sa Mann",Happy,Medium,Mid-tempo
"Hua Hain Aaj Pehli Baar",Happy,High,Mid-tempo
"Kaun Tujhe",Sad,Medium,Slow
"Naina",Sad,Medium,Slow
"Barfani",Sad,Medium,Slow
"Besabriyaan",Happy,Medium,Mid-tempo
"Dil Mein Ho Tum",Sad,Medium,Slow
"Bol Do Na Zara",Happy,Medium,Slow
"Main Hoon Hero Tera",Happy,Medium,Slow
"Tumhe Apna Banane Ka",Sad,Medium,Slow
"Main Rahoon Ya Na Rahoon",Sad,Medium,Slow
"Wajah Tum Ho",Sad,Medium,Slow
"Buddhu Sa Mann",Happy,Medium,Mid-tempo
"Hua Hain Aaj Pehli Baar",Happy,High,Mid-tempo
"Kaun Tujhe",Sad,Medium,Slow
"Naina",Sad,Medium,Slow
"Barfani",Sad,Medium,Slow
"Besabriyaan",Happy,Medium,Mid-tempo
"Dil Mein Ho Tum",Sad,Medium,Slow
"Bol Do Na Zara",Happy,Medium,Slow
"Main Hoon Hero Tera",Happy,Medium,Slow
"Tumhe Apna Banane Ka",Sad,Medium,Slow
"Main Rahoon Ya Na Rahoon",Sad,Medium,Slow
"Wajah Tum Ho",Sad,Medium,Slow
"Buddhu Sa Mann",Happy,Medium,Mid-tempo
"Hua Hain Aaj Pehli Baar",Happy,High,Mid-tempo
"Kaun Tujhe",Sad,Medium,Slow
"Naina",Sad,Medium,Slow
"Barfani",Sad,Medium,Slow
"Besabriyaan",Happy,Medium,Mid-tempo
"Dil Mein Ho Tum",Sad,Medium,Slow
"Crazy in Love",Happy,High,Fast
"Single Ladies (Put a Ring on It)",Happy,High,Fast
"Halo",Happy,High,Slow
"Irreplaceable",Happy,Medium,Slow
"Formation",Happy,High,Fast
"Drunk in Love",Happy,High,Mid-tempo
"Love on Top",Happy,High,Fast
"Partition",Happy,High,Fast
"Sorry",Angry,High,Fast
"If I Were a Boy",Sad,Medium,Slow
"Run the World (Girls)",Happy,High,Fast
"Hold Up",Angry,High,Slow
"Countdown",Happy,High,Fast
"7/11",Happy,High,Fast
"Best Thing I Never Had",Happy,Medium,Slow
"Déjà Vu",Happy,High,Fast
"Sweet Dreams",Happy,High,Fast
"Beautiful Liar",Happy,High,Fast
"Listen",Sad,High,Slow
"XO",Happy,High,Slow
"Flawless",Happy,High,Fast
"End of Time",Happy,High,Fast
"Diva",Happy,High,Fast
"Pretty Hurts",Sad,Medium,Slow
"Upgrade U",Happy,High,Mid-tempo
"Ring the Alarm",Angry,High,Fast
"Me, Myself and I",Sad,Medium,Slow
"Check On It",Happy,High,Fast
"Party",Happy,High,Fast
"Hold Up",Angry,High,Slow
"Countdown",Happy,High,Fast
"7/11",Happy,High,Fast
"Best Thing I Never Had",Happy,Medium,Slow
"Déjà Vu",Happy,High,Fast
"Sweet Dreams",Happy,High,Fast
"Beautiful Liar",Happy,High,Fast
"Listen",Sad,High,Slow
"XO",Happy,High,Slow
"Flawless",Happy,High,Fast
"End of Time",Happy,High,Fast
"Diva",Happy,High,Fast
"Pretty Hurts",Sad,Medium,Slow
"Upgrade U",Happy,High,Mid-tempo
"Ring the Alarm",Angry,High,Fast
"Me, Myself and I",Sad,Medium,Slow
"Check On It",Happy,High,Fast
"Party",Happy,High,Fast
"Hold Up",Angry,High,Slow
"Countdown",Happy,High,Fast
"7/11",Happy,High,Fast
"Best Thing I Never Had",Happy,Medium,Slow
"Déjà Vu",Happy,High,Fast
"Sweet Dreams",Happy,High,Fast
"Beautiful Liar",Happy,High,Fast
"Listen",Sad,High,Slow
"XO",Happy,High,Slow
"Flawless",Happy,High,Fast
"End of Time",Happy,High,Fast
"Diva",Happy,High,Fast
"Pretty Hurts",Sad,Medium,Slow
"Upgrade U",Happy,High,Mid-tempo
"Ring the Alarm",Angry,High,Fast
"Me, Myself and I",Sad,Medium,Slow
"Check On It",Happy,High,Fast
"Party",Happy,High,Fast
"Hold Up",Angry,High,Slow
"Countdown",Happy,High,Fast
"7/11",Happy,High,Fast
"Best Thing I Never Had",Happy,Medium,Slow
"Déjà Vu",Happy,High,Fast
"Sweet Dreams",Happy,High,Fast
"Beautiful Liar",Happy,High,Fast
"Listen",Sad,High,Slow
"XO",Happy,High,Slow
"Flawless",Happy,High,Fast
"End of Time",Happy,High,Fast
"Diva",Happy,High,Fast
"Pretty Hurts",Sad,Medium,Slow
"Upgrade U",Happy,High,Mid-tempo
"Ring the Alarm",Angry,High,Fast
"Me, Myself and I",Sad,Medium,Slow
"Check On It",Happy,High,Fast
"Party",Happy,High,Fast
"Hold Up",Angry,High,Slow
"Countdown",Happy,High,Fast
"7/11",Happy,High,Fast
"Best Thing I Never Had",Happy,Medium,Slow
"Déjà Vu",Happy,High,Fast
"Sweet Dreams",Happy,High,Fast
"Beautiful Liar",Happy,High,Fast
"Listen",Sad,High,Slow
"XO",Happy,High,Slow
"Flawless",Happy,High,Fast
"End of Time",Happy,High,Fast
"Diva",Happy,High,Fast
"Pretty Hurts",Sad,Medium,Slow
"Upgrade U",Happy,High,Mid-tempo
"Ring the Alarm",Angry,High,Fast
"Me, Myself and I",Sad,Medium,Slow
"Check On It",Happy,High,Fast
"Party",Happy,High,Fast
"Hold Up",Angry,High,Slow
"Umbrella",Happy,High,Fast
"Diamonds",Happy,High,Slow
"We Found Love",Happy,High,Fast
"Work",Happy,High,Fast
"Stay",Sad,Medium,Slow
"Only Girl (In the World)",Happy,High,Fast
"Rude Boy",Happy,High,Fast
"S&M",Happy,High,Fast
"Take a Bow",Sad,Medium,Slow
"Love the Way You Lie (Part II)",Sad,Medium,Slow
"What's My Name?",Happy,High,Fast
"Disturbia",Happy,High,Fast
"Pour It Up",Happy,High,Fast
"Where Have You Been",Happy,High,Fast
"Russian Roulette",Sad,High,Slow
"Man Down",Angry,High,Mid-tempo
"Hate That I Love You",Sad,Medium,Slow
"Unfaithful",Sad,High,Slow
"Don't Stop the Music",Happy,High,Fast
"SOS",Happy,High,Fast
"Pon de Replay",Happy,High,Fast
"Needed Me",Sad,High,Slow
"California King Bed",Sad,Medium,Slow
"You Da One",Happy,High,Fast
"Break It Off",Happy,High,Fast
"Kiss It Better",Happy,High,Mid-tempo
"Te Amo",Sad,Medium,Slow
"Bitch Better Have My Money",Angry,High,Fast
"Work",Happy,High,Fast
"FourFiveSeconds",Sad,Medium,Slow
"Talk That Talk",Happy,High,Fast
"Sledgehammer",Happy,High,Slow
"American Oxygen",Happy,High,Mid-tempo
"Right Now",Happy,High,Fast
"Rude Boy",Happy,High,Fast
"Man Down",Angry,High,Mid-tempo
"Umbrella",Happy,High,Fast
"Diamonds",Happy,High,Slow
"We Found Love",Happy,High,Fast
"Work",Happy,High,Fast
"Stay",Sad,Medium,Slow
"Only Girl (In the World)",Happy,High,Fast
"Rude Boy",Happy,High,Fast
"S&M",Happy,High,Fast
"Take a Bow",Sad,Medium,Slow
"Love the Way You Lie (Part II)",Sad,Medium,Slow
"What's My Name?",Happy,High,Fast
"Disturbia",Happy,High,Fast
"Pour It Up",Happy,High,Fast
"Where Have You Been",Happy,High,Fast
"Russian Roulette",Sad,High,Slow
"Man Down",Angry,High,Mid-tempo
"Hate That I Love You",Sad,Medium,Slow
"Unfaithful",Sad,High,Slow
"Don't Stop the Music",Happy,High,Fast
"SOS",Happy,High,Fast
"Pon de Replay",Happy,High,Fast
"Needed Me",Sad,High,Slow
"California King Bed",Sad,Medium,Slow
"You Da One",Happy,High,Fast
"Break It Off",Happy,High,Fast
"Kiss It Better",Happy,High,Mid-tempo
"Te Amo",Sad,Medium,Slow
"Bitch Better Have My Money",Angry,High,Fast
"Work",Happy,High,Fast
"FourFiveSeconds",Sad,Medium,Slow
"Talk That Talk",Happy,High,Fast
"Sledgehammer",Happy,High,Slow
"American Oxygen",Happy,High,Mid-tempo
"Right Now",Happy,High,Fast
"Rude Boy",Happy,High,Fast
"Man Down",Angry,High,Mid-tempo
"Empire State of Mind",Happy,High,Mid-tempo
"99 Problems",Angry,High,Fast
"Run This Town",Happy,High,Fast
"Ni**as in Paris",Happy,High,Fast
"Hard Knock Life (Ghetto Anthem)",Angry,High,Fast
"Big Pimpin'",Happy,High,Fast
"Dirt Off Your Shoulder",Happy,High,Mid-tempo
"Holy Grail",Sad,Medium,Slow
"Can't Knock the Hustle",Happy,High,Mid-tempo
"Izzo (H.O.V.A.)",Happy,High,Fast
"On to the Next One",Happy,High,Fast
"Encore",Happy,High,Fast
"Tom Ford",Happy,High,Fast
"Heart of the City (Ain't No Love)",Sad,Medium,Mid-tempo
"Show Me What You Got",Happy,High,Fast
"Change Clothes",Happy,High,Mid-tempo
"Excuse Me Miss",Happy,High,Mid-tempo
"Girls, Girls, Girls",Happy,High,Mid-tempo
"Feelin' It",Happy,High,Mid-tempo
"Hard Knock Life (Ghetto Anthem)",Angry,High,Fast
"I Just Wanna Love U (Give It 2 Me)",Happy,High,Fast
"Public Service Announcement",Angry,High,Fast
"Empire State of Mind",Happy,High,Mid-tempo
"99 Problems",Angry,High,Fast
"Run This Town",Happy,High,Fast
"Ni**as in Paris",Happy,High,Fast
"Hard Knock Life (Ghetto Anthem)",Angry,High,Fast
"Big Pimpin'",Happy,High,Fast
"Dirt Off Your Shoulder",Happy,High,Mid-tempo
"Holy Grail",Sad,Medium,Slow
"Can't Knock the Hustle",Happy,High,Mid-tempo
"Izzo (H.O.V.A.)",Happy,High,Fast
"On to the Next One",Happy,High,Fast
"Encore",Happy,High,Fast
"Tom Ford",Happy,High,Fast
"Heart of the City (Ain't No Love)",Sad,Medium,Mid-tempo
"Show Me What You Got",Happy,High,Fast
"Change Clothes",Happy,High,Mid-tempo
"Excuse Me Miss",Happy,High,Mid-tempo
"Girls, Girls, Girls",Happy,High,Mid-tempo
"Feelin' It",Happy,High,Mid-tempo
"Hard Knock Life (Ghetto Anthem)",Angry,High,Fast
"I Just Wanna Love U (Give It 2 Me)",Happy,High,Fast
"Public Service Announcement",Angry,High,Fast
"Empire State of Mind",Happy,High,Mid-tempo
"99 Problems",Angry,High,Fast
"Run This Town",Happy,High,Fast
"Ni**as in Paris",Happy,High,Fast
"Hard Knock Life (Ghetto Anthem)",Angry,High,Fast
"Big Pimpin'",Happy,High,Fast
"Dirt Off Your Shoulder",Happy,High,Mid-tempo
"Holy Grail",Sad,Medium,Slow
"Can't Knock the Hustle",Happy,High,Mid-tempo
"Izzo (H.O.V.A.)",Happy,High,Fast
"On to the Next One",Happy,High,Fast
"Encore",Happy,High,Fast
"Tom Ford",Happy,High,Fast
"Heart of the City (Ain't No Love)",Sad,Medium,Mid-tempo
"Show Me What You Got",Happy,High,Fast
"Change Clothes",Happy,High,Mid-tempo
"Excuse Me Miss",Happy,High,Mid-tempo
"Girls, Girls, Girls",Happy,High,Mid-tempo
"Feelin' It",Happy,High,Mid-tempo
"Heather",Sad,Low,Slow
"Maniac",Happy,High,Fast
"Idle Town",Sad,Low,Slow
"Wish You Were Sober",Sad,Medium,Slow
"Comfort Crowd",Happy,Medium,Mid-tempo
"The Story",Sad,Low,Slow
"Checkmate",Angry,High,Fast
"Affluenza",Sad,Medium,Mid-tempo
"Generation Why",Happy,High,Mid-tempo
"Crush Culture",Sad,Medium,Mid-tempo
"Greek God",Happy,High,Mid-tempo
"The King",Sad,Low,Slow
"Heather",Sad,Low,Slow
"Maniac",Happy,High,Fast
"Idle Town",Sad,Low,Slow
"Wish You Were Sober",Sad,Medium,Slow
"Comfort Crowd",Happy,Medium,Mid-tempo
"The Story",Sad,Low,Slow
"Checkmate",Angry,High,Fast
"Affluenza",Sad,Medium,Mid-tempo
"Generation Why",Happy,High,Mid-tempo
"Crush Culture",Sad,Medium,Mid-tempo
"Greek God",Happy,High,Mid-tempo
"The King",Sad,Low,Slow
"Heather",Sad,Low,Slow
"Maniac",Happy,High,Fast
"Idle Town",Sad,Low,Slow
"Wish You Were Sober",Sad,Medium,Slow
"Comfort Crowd",Happy,Medium,Mid-tempo
"The Story",Sad,Low,Slow
"Checkmate",Angry,High,Fast
"Affluenza",Sad,Medium,Mid-tempo
"Generation Why",Happy,High,Mid-tempo
"Crush Culture",Sad,Medium,Mid-tempo
"Greek God",Happy,High,Mid-tempo
"The King",Sad,Low,Slow
"Heather",Sad,Low,Slow
"Maniac",Happy,High,Fast
"Idle Town",Sad,Low,Slow
"Wish You Were Sober",Sad,Medium,Slow
"Comfort Crowd",Happy,Medium,Mid-tempo
"The Story",Sad,Low,Slow
"Checkmate",Angry,High,Fast
"Affluenza",Sad,Medium,Mid-tempo
"Generation Why",Happy,High,Mid-tempo
"Crush Culture",Sad,Medium,Mid-tempo
"Greek God",Happy,High,Mid-tempo
"The King",Sad,Low,Slow
"Heather",Sad,Low,Slow
"Maniac",Happy,High,Fast
"Idle Town",Sad,Low,Slow
"Wish You Were Sober",Sad,Medium,Slow
"Comfort Crowd",Happy,Medium,Mid-tempo
"The Story",Sad,Low,Slow
"Checkmate",Angry,High,Fast
"Affluenza",Sad,Medium,Mid-tempo
"Generation Why",Happy,High,Mid-tempo
"Crush Culture",Sad,Medium,Mid-tempo
"Greek God",Happy,High,Mid-tempo
"The King",Sad,Low,Slow
"Heather",Sad,Low,Slow
"Maniac",Happy,High,Fast
"Idle Town",Sad,Low,Slow
"Wish You Were Sober",Sad,Medium,Slow
"Comfort Crowd",Happy,Medium,Mid-tempo
"The Story",Sad,Low,Slow
"Checkmate",Angry,High,Fast
"Affluenza",Sad,Medium,Mid-tempo
"Generation Why",Happy,High,Mid-tempo
"Crush Culture",Sad,Medium,Mid-tempo
"Greek God",Happy,High,Mid-tempo
"The King",Sad,Low,Slow
"Say So",Happy,High,Mid-tempo
"Streets",Happy,High,Mid-tempo
"Kiss Me More",Happy,High,Mid-tempo
"Boss B*tch",Happy,High,Fast
"Like That",Happy,High,Fast
"Juicy",Happy,High,Fast
"Best Friend",Happy,High,Mid-tempo
"Rules",Happy,High,Fast
"Mooo!",Happy,High,Mid-tempo
"Bottom B*tch",Happy,High,Fast
"Cyber Sex",Happy,High,Fast
"Tia Tamera",Happy,High,Fast
"Say So",Happy,High,Mid-tempo
"Streets",Happy,High,Mid-tempo
"Kiss Me More",Happy,High,Mid-tempo
"Boss B*tch",Happy,High,Fast
"Like That",Happy,High,Fast
"Juicy",Happy,High,Fast
"Best Friend",Happy,High,Mid-tempo
"Rules",Happy,High,Fast
"Mooo!",Happy,High,Mid-tempo
"Bottom B*tch",Happy,High,Fast
"Cyber Sex",Happy,High,Fast
"Tia Tamera",Happy,High,Fast
"Say So",Happy,High,Mid-tempo
"Streets",Happy,High,Mid-tempo
"Kiss Me More",Happy,High,Mid-tempo
"Boss B*tch",Happy,High,Fast
"Like That",Happy,High,Fast
"Juicy",Happy,High,Fast
"Best Friend",Happy,High,Mid-tempo
"Rules",Happy,High,Fast
"Mooo!",Happy,High,Mid-tempo
"Bottom B*tch",Happy,High,Fast
"Cyber Sex",Happy,High,Fast
"Tia Tamera",Happy,High,Fast
"Say So",Happy,High,Mid-tempo
"Streets",Happy,High,Mid-tempo
"Kiss Me More",Happy,High,Mid-tempo
"Boss B*tch",Happy,High,Fast
"Like That",Happy,High,Fast
"Juicy",Happy,High,Fast
"Best Friend",Happy,High,Mid-tempo
"Rules",Happy,High,Fast
"Mooo!",Happy,High,Mid-tempo
"Bottom B*tch",Happy,High,Fast
"Cyber Sex",Happy,High,Fast
"Tia Tamera",Happy,High,Fast
"Say So",Happy,High,Mid-tempo
"Streets",Happy,High,Mid-tempo
"Kiss Me More",Happy,High,Mid-tempo
"Boss B*tch",Happy,High,Fast
"Like That",Happy,High,Fast
"Juicy",Happy,High,Fast
"Best Friend",Happy,High,Mid-tempo
"Rules",Happy,High,Fast
"Mooo!",Happy,High,Mid-tempo
"Bottom B*tch",Happy,High,Fast
"Cyber Sex",Happy,High,Fast
"Tia Tamera",Happy,High,Fast
"Say So",Happy,High,Mid-tempo
"Streets",Happy,High,Mid-tempo
"Kiss Me More",Happy,High,Mid-tempo
"Boss B*tch",Happy,High,Fast
"Like That",Happy,High,Fast
"Juicy",Happy,High,Fast
"Best Friend",Happy,High,Mid-tempo
"Rules",Happy,High,Fast
"Mooo!",Happy,High,Mid-tempo
"Bottom B*tch",Happy,High,Fast
"Cyber Sex",Happy,High,Fast
"Tia Tamera",Happy,High,Fast
"Wrecking Ball",Sad,High,Slow
"Party in the U.S.A.",Happy,High,Mid-tempo
"Malibu",Happy,High,Mid-tempo
"We Can't Stop",Happy,High,Mid-tempo
"The Climb",Happy,Medium,Slow
"Slide Away",Sad,Medium,Slow
"Adore You",Happy,High,Mid-tempo
"Midnight Sky",Happy,High,Mid-tempo
"Mother's Daughter",Happy,High,Fast
"Nothing Breaks Like a Heart",Sad,High,Mid-tempo
"Can't Be Tamed",Angry,High,Fast
"7 Things",Sad,High,Mid-tempo
"Wrecking Ball",Sad,High,Slow
"Party in the U.S.A.",Happy,High,Mid-tempo
"Malibu",Happy,High,Mid-tempo
"We Can't Stop",Happy,High,Mid-tempo
"The Climb",Happy,Medium,Slow
"Slide Away",Sad,Medium,Slow
"Adore You",Happy,High,Mid-tempo
"Midnight Sky",Happy,High,Mid-tempo
"Mother's Daughter",Happy,High,Fast
"Nothing Breaks Like a Heart",Sad,High,Mid-tempo
"Can't Be Tamed",Angry,High,Fast
"7 Things",Sad,High,Mid-tempo
"Wrecking Ball",Sad,High,Slow
"Party in the U.S.A.",Happy,High,Mid-tempo
"Malibu",Happy,High,Mid-tempo
"We Can't Stop",Happy,High,Mid-tempo
"The Climb",Happy,Medium,Slow
"Slide Away",Sad,Medium,Slow
"Adore You",Happy,High,Mid-tempo
"Midnight Sky",Happy,High,Mid-tempo
"Mother's Daughter",Happy,High,Fast
"Nothing Breaks Like a Heart",Sad,High,Mid-tempo
"Can't Be Tamed",Angry,High,Fast
"7 Things",Sad,High,Mid-tempo
"Wrecking Ball",Sad,High,Slow
"Party in the U.S.A.",Happy,High,Mid-tempo
"Malibu",Happy,High,Mid-tempo
"We Can't Stop",Happy,High,Mid-tempo
"The Climb",Happy,Medium,Slow
"Slide Away",Sad,Medium,Slow
"Adore You",Happy,High,Mid-tempo
"Midnight Sky",Happy,High,Mid-tempo
"Mother's Daughter",Happy,High,Fast
"Nothing Breaks Like a Heart",Sad,High,Mid-tempo
"Can't Be Tamed",Angry,High,Fast
"7 Things",Sad,High,Mid-tempo
"Wrecking Ball",Sad,High,Slow
"Party in the U.S.A.",Happy,High,Mid-tempo
"Malibu",Happy,High,Mid-tempo
"We Can't Stop",Happy,High,Mid-tempo
"The Climb",Happy,Medium,Slow
"Slide Away",Sad,Medium,Slow
"Adore You",Happy,High,Mid-tempo
"Midnight Sky",Happy,High,Mid-tempo
"Mother's Daughter",Happy,High,Fast
"Nothing Breaks Like a Heart",Sad,High,Mid-tempo
"Can't Be Tamed",Angry,High,Fast
"7 Things",Sad,High,Mid-tempo
"Wrecking Ball",Sad,High,Slow
"Party in the U.S.A.",Happy,High,Mid-tempo
"Malibu",Happy,High,Mid-tempo
"We Can't Stop",Happy,High,Mid-tempo
"The Climb",Happy,Medium,Slow
"Slide Away",Sad,Medium,Slow
"Adore You",Happy,High,Mid-tempo
"Midnight Sky",Happy,High,Mid-tempo
"Mother's Daughter",Happy,High,Fast
"Nothing Breaks Like a Heart",Sad,High,Mid-tempo
"Can't Be Tamed",Angry,High,Fast
"7 Things",Sad,High,Mid-tempo
"Before He Cheats",Angry,High,Fast
"Jesus, Take the Wheel",Happy,Medium,Slow
"Blown Away",Angry,High,Mid-tempo
"Cowboy Casanova",Happy,High,Fast
"Something in the Water",Happy,High,Slow
"Cry Pretty",Sad,High,Slow
"The Champion",Happy,High,Fast
"Undo It",Angry,High,Fast
"All-American Girl",Happy,High,Mid-tempo
"Good Girl",Happy,High,Fast
"Smoke Break",Sad,High,Mid-tempo
"Temporary Home",Sad,Medium,Slow
"Before He Cheats",Angry,High,Fast
"Jesus, Take the Wheel",Happy,Medium,Slow
"Blown Away",Angry,High,Mid-tempo
"Cowboy Casanova",Happy,High,Fast
"Something in the Water",Happy,High,Slow
"Cry Pretty",Sad,High,Slow
"The Champion",Happy,High,Fast
"Undo It",Angry,High,Fast
"All-American Girl",Happy,High,Mid-tempo
"Good Girl",Happy,High,Fast
"Smoke Break",Sad,High,Mid-tempo
"Temporary Home",Sad,Medium,Slow
"Before He Cheats",Angry,High,Fast
"Jesus, Take the Wheel",Happy,Medium,Slow
"Blown Away",Angry,High,Mid-tempo
"Cowboy Casanova",Happy,High,Fast
"Something in the Water",Happy,High,Slow
"Cry Pretty",Sad,High,Slow
"The Champion",Happy,High,Fast
"Undo It",Angry,High,Fast
"All-American Girl",Happy,High,Mid-tempo
"Good Girl",Happy,High,Fast
"Smoke Break",Sad,High,Mid-tempo
"Temporary Home",Sad,Medium,Slow
"Before He Cheats",Angry,High,Fast
"Jesus, Take the Wheel",Happy,Medium,Slow
"Blown Away",Angry,High,Mid-tempo
"Cowboy Casanova",Happy,High,Fast
"Something in the Water",Happy,High,Slow
"Cry Pretty",Sad,High,Slow
"The Champion",Happy,High,Fast
"Undo It",Angry,High,Fast
"All-American Girl",Happy,High,Mid-tempo
"Good Girl",Happy,High,Fast
"Smoke Break",Sad,High,Mid-tempo
"Temporary Home",Sad,Medium,Slow
"Before He Cheats",Angry,High,Fast
"Jesus, Take the Wheel",Happy,Medium,Slow
"Blown Away",Angry,High,Mid-tempo
"Cowboy Casanova",Happy,High,Fast
"Something in the Water",Happy,High,Slow
"Cry Pretty",Sad,High,Slow
"The Champion",Happy,High,Fast
"Undo It",Angry,High,Fast
"All-American Girl",Happy,High,Mid-tempo
"Good Girl",Happy,High,Fast
"Smoke Break",Sad,High,Mid-tempo
"Temporary Home",Sad,Medium,Slow
"Before He Cheats",Angry,High,Fast
"Jesus, Take the Wheel",Happy,Medium,Slow
"Blown Away",Angry,High,Mid-tempo
"Cowboy Casanova",Happy,High,Fast
"Something in the Water",Happy,High,Slow
"Cry Pretty",Sad,High,Slow
"The Champion",Happy,High,Fast
"Undo It",Angry,High,Fast
"All-American Girl",Happy,High,Mid-tempo
"Good Girl",Happy,High,Fast
"Smoke Break",Sad,High,Mid-tempo
"Temporary Home",Sad,Medium,Slow
"Before He Cheats",Angry,High,Fast
